TRADEDATE,CLOSE
17.06.2019,2734.31
18.06.2019,2761.69
19.06.2019,2759.12
20.06.2019,2780.02
21.06.2019,2761.23
24.06.2019,2762.65
25.06.2019,2753.96
26.06.2019,2775.14
27.06.2019,2779.66
28.06.2019,2765.85
01.07.2019,2801.47
02.07.2019,2809.81
03.07.2019,2823.95
04.07.2019,2842.78
05.07.2019,2835.35
08.07.2019,2822.55
09.07.2019,2822.66
10.07.2019,2822.75
11.07.2019,2789.66
12.07.2019,2777.58
15.07.2019,2756.44
16.07.2019,2755.88
17.07.2019,2713.17
18.07.2019,2702.59
19.07.2019,2700.57
22.07.2019,2684.25
23.07.2019,2701.06
24.07.2019,2682.91
25.07.2019,2701.02
26.07.2019,2715.68
29.07.2019,2728.27
30.07.2019,2734.68
31.07.2019,2739.05
01.08.2019,2729.42
02.08.2019,2674.09
05.08.2019,2649.16
06.08.2019,2683.35
07.08.2019,2674.98
08.08.2019,2696.69
09.08.2019,2679.71
12.08.2019,2689.93
13.08.2019,2680.12
14.08.2019,2637.04
15.08.2019,2625.58
16.08.2019,2615.02
19.08.2019,2648.09
20.08.2019,2672.84
21.08.2019,2673.95
22.08.2019,2675.13
23.08.2019,2660.74
26.08.2019,2658.24
27.08.2019,2659.35
28.08.2019,2677.31
29.08.2019,2714.25
30.08.2019,2740.04
02.09.2019,2773.01
03.09.2019,2774.02
04.09.2019,2793.36
05.09.2019,2807.06
06.09.2019,2797.55
09.09.2019,2786.63
10.09.2019,2787.52
11.09.2019,2817.05
12.09.2019,2799.99
13.09.2019,2791.74
16.09.2019,2834.32
17.09.2019,2820.86
18.09.2019,2818.06
19.09.2019,2794.77
20.09.2019,2796.41
23.09.2019,2785.46
24.09.2019,2754.53
25.09.2019,2760.29
26.09.2019,2772.07
27.09.2019,2757.98
30.09.2019,2747.18
01.10.2019,2758.83
02.10.2019,2719.39
03.10.2019,2707.47
04.10.2019,2692.55
07.10.2019,2719.22
08.10.2019,2707.89
09.10.2019,2713.02
10.10.2019,2721.51
11.10.2019,2708.07
14.10.2019,2697.46
15.10.2019,2715.26
16.10.2019,2744.35
17.10.2019,2748.64
18.10.2019,2752.91
21.10.2019,2761.15
22.10.2019,2802.23
23.10.2019,2821.58
24.10.2019,2877.05
25.10.2019,2873.41
28.10.2019,2856.91
29.10.2019,2886.48
30.10.2019,2911.15
31.10.2019,2893.98
01.11.2019,2930.04
05.11.2019,2949.55
06.11.2019,2980.84
07.11.2019,3008.54
08.11.2019,2973.19
11.11.2019,2961.46
12.11.2019,2951.16
13.11.2019,2933.89
14.11.2019,2922.45
15.11.2019,2934.82
18.11.2019,2924.48
19.11.2019,2941.69
20.11.2019,2936.47
21.11.2019,2942.06
22.11.2019,2947.68
25.11.2019,2955.32
26.11.2019,2930.62
27.11.2019,2929.05
28.11.2019,2927.57
29.11.2019,2935.37
